"rankng of move
","move name
",Year,votes,RATNG,certfcate,runtme,genre,metascore,"DETAL ABOUT MOVE
","DRECTOR
","ACTOR 1
","ACTOR 2
",ACTOR 3,ACTOR 4,"GROSS COLLECTON
"
267,The Bg Lebowsk,1998,794359,8.1,18,117 mn,"Comedy, Crme",71,"Ultmate L.A. slacker Jeff ""The Dude"" Lebowsk, mstaken for a mllonare of the same name, seeks resttuton for a rug runed by debt collectors, enlstng hs bowlng buddes for help whle tryng to fnd the mllonare's mssng wfe.",Joel Coen,Ethan Coen,Jeff Brdges,John Goodman,Julanne Moore,$17.50M
268,Transpottng,1996,676771,8.1,18,93 mn,Drama,83,"Renton, deeply mmersed n the Ednburgh drug scene, tres to clean up and get out, despte the allure of the drugs and nfluence of frends.",Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Mller,Kevn McKdd,$16.50M
269,Fargo,1996,667020,8.1,18,98 mn,"Crme, Thrller",85,Mnnesota car salesman Jerry Lundegaard's nept crme falls apart due to hs and hs henchmen's bunglng and the persstent polce work of the qute pregnant Marge Gunderson.,Joel Coen,Ethan Coen,Wllam H. Macy,Frances McDormand,Steve Buscem,$24.61M
270,The Bandt,1996,69691,8.1,15,128 mn,"Crme, Drama, Thrller",,"Baran the Bandt, released from prson after 35 years, searches for vengeance and hs lover.",Yavuz Turgul,Sener Sen,Ugur Yücel,Sermn Hürmerç,Yesm Salkm,
271,Underground,1995,58171,8.1,15,170 mn,"Comedy, Drama, Fantasy",79,"A group of Serban socalsts prepares for the war n a surreal underground flled by partes, tragedes, love, and hate.",Emr Kusturca,Predrag 'Mk' Manojlovc,Lazar Rstovsk,Mrjana Jokovc,Slavko Stmac,$0.17M
272,La Hane,1995,169618,8.1,15,98 mn,"Crme, Drama",,24 hours n the lves of three young men n the French suburbs the day after a volent rot.,Matheu Kassovtz,Vncent Cassel,Hubert Koundé,Saïd Taghmaou,Abdel Ahmed Ghl,$0.31M
273,Before Sunrse,1995,300805,8.1,15,101 mn,"Drama, Romance",77,"A young man and woman meet on a tran n Europe, and wnd up spendng one evenng together n Venna. Unfortunately, both know that ths wll probably be ther only nght together.",Rchard Lnklater,Ethan Hawke,Jule Delpy,Andrea Eckert,Hanno Pöschl,$5.54M
274,Three Colours: Red,1994,101965,8.1,15,99 mn,"Drama, Mystery, Romance",100,A model dscovers a retred judge s keen on nvadng people's prvacy.,Krzysztof Keslowsk,rène Jacob,Jean-Lous Trntgnant,Frédérque Feder,Jean-Perre Lort,$4.04M
275,n the Name of the Father,1993,172627,8.1,15,133 mn,"Bography, Crme, Drama",84,A man's coerced confesson to an .R.A. bombng he dd not commt results n the mprsonment of hs father as well. An Englsh lawyer fghts to free them.,Jm Sherdan,Danel Day-Lews,Pete Postlethwate,Alson Crosbe,Phlp Kng,$25.01M
276,Groundhog Day,1993,618485,8.1,PG,101 mn,"Comedy, Drama, Fantasy",72,A self-centered Pttsburgh weatherman fnds hmself nexplcably trapped n a small town as he lves the same day over and over agan.,Harold Rams,Bll Murray,Ande MacDowell,Chrs Ellott,Stephen Tobolowsky,$70.91M
277,Farewell My Concubne,1993,28533,8.1,15,171 mn,"Drama, Musc, Romance",83,Two boys meet at an opera tranng school n Pekng n 1924. Ther resultng frendshp wll span nearly 70 years and wll endure some of the most troublesome tmes n Chna's hstory.,Kage Chen,Lesle Cheung,Fengy Zhang,Gong L,You Ge,$5.22M
278,Rase the Red Lantern,1991,32404,8.1,PG,125 mn,"Drama, Hstory, Romance",,"A young woman becomes the fourth wfe of a wealthy lord, and must learn to lve wth the strct rules and tensons wthn the household.",Ymou Zhang,Gong L,Jngwu Ma,Safe He,Cufen Cao,$2.60M
279,Tme of the Gypses,1988,30569,8.1,15,142 mn,"Comedy, Crme, Drama",,"n ths lumnous tale set n the area around Sarajevo and n taly, Perhan, an engagng young Romany  gypsy  wth teleknetc powers, s seduced by the quck-cash world of petty crme, whch threatens to destroy hm and those he loves.",Emr Kusturca,Davor Dujmovc,Bora Todorovc,Ljubca Adzovc,Husnja Hasmovc,$0.28M
280,Dead Poets Socety,1989,476107,8.1,PG,128 mn,"Comedy, Drama",79,Maverck teacher John Keatng uses poetry to embolden hs boardng school students to new heghts of self-expresson.,Peter Wer,Robn Wllams,Robert Sean Leonard,Ethan Hawke,Josh Charles,$95.86M
281,My Neghbour Totoro,1988,329993,8.1,U,86 mn,"Anmaton, Comedy, Famly",86,"When two grls move to the country to be near ther alng mother, they have adventures wth the wondrous forest sprts who lve nearby.",Hayao Myazak,Htosh Takag,Norko Hdaka,Chka Sakamoto,Shgesato to,$1.11M
282,Stand by Me,1986,395753,8.1,15,89 mn,"Adventure, Drama",75,"After the death of one of hs frends, a wrter recounts a chldhood journey wth hs frends to fnd the body of a mssng boy.",Rob Rener,Wl Wheaton,Rver Phoenx,Corey Feldman,Jerry O'Connell,$52.29M
283,Platoon,1986,408735,8.1,15,120 mn,"Drama, War",92,"Chrs Taylor, a neophyte recrut n Vetnam, fnds hmself caught n a battle of wlls between two sergeants, one good and the other evl. A shrewd examnaton of the brutalty of war and the dualty of man n conflct.",Olver Stone,Charle Sheen,Tom Berenger,Wllem Dafoe,Keth Davd,$138.53M
284,Jean de Florette,1986,25735,8.1,PG,120 mn,"Comedy, Drama, Western",,A greedy landowner and hs backward nephew conspre to block the only water source for an adjonng property n order to bankrupt the owner and force hm to sell.,Claude Berr,Yves Montand,Gérard Depardeu,Danel Auteul,Elsabeth Depardeu,$4.94M
285,The Termnator,1984,846867,8.1,18,107 mn,"Acton, Sc-F",84,"A human solder s sent from 2029 to 1984 to stop an almost ndestructble cyborg kllng machne, sent from the same year, whch has been programmed to execute a young woman whose unborn son s the key to humanty's future salvaton.",James Cameron,Arnold Schwarzenegger,Lnda Hamlton,Mchael Behn,Paul Wnfeld,$38.40M
286,Gandh,1982,229087,8.1,A,191 mn,"Bography, Drama",79,The lfe of the lawyer who became the famed leader of the ndan revolts aganst the Brtsh rule through hs phlosophy of nonvolent protest.,Rchard Attenborough,Ben Kngsley,John Gelgud,Rohn Hattangad,Roshan Seth,$52.77M
287,Fanny and Alexander,1982,63380,8.1,15,188 mn,Drama,100,"Two young Swedsh chldren n the 1900s experence the many comedes and tragedes of ther lvely and affectonate theatrcal famly, the Ekdahls.",ngmar Bergman,Bertl Guve,Pernlla Allwn,Krstna Adolphson,Börje Ahlstedt,$4.97M
288,Blade Runner,1982,753332,8.1,AA,117 mn,"Acton, Drama, Sc-F",84,"A blade runner must pursue and termnate four replcants who stole a shp n space, and have returned to Earth to fnd ther creator.",Rdley Scott,Harrson Ford,Rutger Hauer,Sean Young,Edward James Olmos,$32.87M
289,Stalker,1979,132099,8.1,PG,162 mn,"Drama, Sc-F",,A gude leads two men through an area known as the Zone to fnd a room that grants wshes.,Andre Tarkovsky,Alsa Freyndlkh,Aleksandr Kaydanovsky,Anatoly Solontsyn,Nkolay Grnko,$0.23M
290,Autumn Sonata,1978,33938,8.1,AA,92 mn,"Drama, Musc",,"A devoted wfe s vsted by her mother, a successful concert panst who had lttle tme for her when she was young.",ngmar Bergman,ngrd Bergman,Lv Ullmann,Lena Nyman,Halvar Björk,
291,The Deer Hunter,1978,335040,8.1,X,183 mn,"Drama, War",86,An n-depth examnaton of the ways n whch the Vetnam War mpacts and dsrupts the lves of several frends n a small steel mll town n Pennsylvana.,Mchael Cmno,Robert De Nro,Chrstopher Walken,John Cazale,John Savage,$48.98M
292,Rocky,1976,563395,8.1,12,120 mn,"Drama, Sport",70,A small-tme Phladelpha boxer gets a supremely rare chance to fght the world heavyweght champon n a bout n whch he strves to go the dstance for hs self-respect.,John G. Avldsen,Sylvester Stallone,Tala Shre,Burt Young,Carl Weathers,$117.24M
293,Network,1976,157815,8.1,AA,121 mn,Drama,83,"A televson network cyncally explots a deranged former anchor's ravngs and revelatons about the news meda for ts own proft, but fnds that hs message may be dffcult to control.",Sdney Lumet,Faye Dunaway,Wllam Holden,Peter Fnch,Robert Duvall,
294,The Message,1976,47222,8.1,PG,177 mn,"Bography, Drama, Hstory",,Ths epc hstorcal drama chroncles the lfe and tmes of Prophet Muhammad and serves as an ntroducton to early slamc hstory.,Moustapha Akkad,Anthony Qunn,rene Papas,Mchael Ansara,Johnny Sekka,
295,Sholay,1975,55246,8.1,PG,204 mn,"Acton, Adventure, Comedy",,"After hs famly s murdered by a notorous and ruthless bandt, a former polce offcer enlsts the servces of two outlaws to capture the bandt.",Ramesh Sppy,Sanjeev Kumar,Dharmendra,Amtabh Bachchan,Amjad Khan,
296,Jaws,1975,587696,8.1,A,124 mn,"Adventure, Thrller",87,"When a kller shark unleashes chaos on a beach communty off Long sland, t's up to a local sherff, a marne bologst, and an old seafarer to hunt the beast down.",Steven Spelberg,Roy Scheder,Robert Shaw,Rchard Dreyfuss,Lorrane Gary,$260.00M
297,Barry Lyndon,1975,164979,8.1,A,185 mn,"Adventure, Drama, War",89,An rsh rogue wns the heart of a rch wdow and assumes her dead husband's arstocratc poston n 18th-century England.,Stanley Kubrck,Ryan O'Neal,Marsa Berenson,Patrck Magee,Hardy Krüger,
298,Paper Moon,1973,47203,8.1,A,102 mn,"Comedy, Crme, Drama",77,"Durng the Great Depresson, a con man fnds hmself saddled wth a young grl who may or may not be hs daughter, and the two forge an unlkely partnershp.",Peter Bogdanovch,Ryan O'Neal,Tatum O'Neal,Madelne Kahn,John Hllerman,$30.93M
299,The Exorcst,1973,395364,8.1,X,122 mn,Horror,81,"When a 12-year-old grl s possessed by a mysterous entty, her mother seeks the help of two prests to save her.",Wllam Fredkn,Ellen Burstyn,Max von Sydow,Lnda Blar,Lee J. Cobb,$232.91M
300,Anand,1971,33599,8.1,U,122 mn,"Drama, Muscal",,"The story of a termnally ll man who wshes to lve lfe to the fullest before the nevtable occurs, as told by hs best frend.",Hrshkesh Mukherjee,Rajesh Khanna,Amtabh Bachchan,Sumta Sanyal,Ramesh Deo,
301,Cool Hand Luke,1967,175217,8.1,A,127 mn,"Crme, Drama",92,"A lad back Southern man s sentenced to two years n a rural prson, but refuses to conform.",Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martn,J.D. Cannon,$16.22M
302,Persona,1966,116450,8.1,X,85 mn,"Drama, Thrller",86,A nurse s put n charge of a mute actress and fnds that ther personae are meldng together.,ngmar Bergman,Bb Andersson,Lv Ullmann,Margaretha Krook,Gunnar Björnstrand,
303,The Sound of Musc,1965,228758,8.1,U,172 mn,"Bography, Drama, Famly",63,A young novtate s sent by her convent n 1930s Austra to become a governess to the seven chldren of a wdowed naval offcer.,Robert Wse,Jule Andrews,Chrstopher Plummer,Eleanor Parker,Rchard Haydn,$163.21M
304,The Battle of Algers,1966,59465,8.1,X,121 mn,"Drama, War",96,"n the 1950s, fear and volence escalate as the people of Algers fght for ndependence from the French government.",Gllo Pontecorvo,Brahm Hadjadj,Jean Martn,Yacef Saad,Sama Kerbash,$0.06M
305,The Man Who Shot Lberty Valance,1962,75388,8.1,U,123 mn,"Drama, Western",94,A senator returns to a western town for the funeral of an old frend and tells the story of hs orgns.,John Ford,James Stewart,John Wayne,Vera Mles,Lee Marvn,
306,The Vrgn Sprng,1960,29129,8.1,15,89 mn,Drama,,"n 14th-century Sweden, an nnocent yet pampered teenage grl and her famly's pregnant and jealous servant set out from ther farm to delver candles to church, but only one returns from events that transpre n the woods along the way.",ngmar Bergman,Max von Sydow,Brgtta Valberg,Gunnel Lndblom,Brgtta Pettersson,$1.53M
307,nhert the Wnd,1960,30006,8.1,A,128 mn,"Bography, Drama, Hstory",75,"Based on a real-lfe case n 1925, two great lawyers argue the case for and aganst a Tennessee scence teacher accused of the crme of teachng evoluton.",Stanley Kramer,Spencer Tracy,Fredrc March,Gene Kelly,Dck York,
308,The 400 Blows,1959,116226,8.1,A,99 mn,"Crme, Drama",,"A young boy, left wthout attenton, delves nto a lfe of petty crme.",Franços Truffaut,Jean-Perre Léaud,Albert Rémy,Clare Maurer,Guy Decomble,
309,Ben-Hur,1959,236704,8.1,A,212 mn,"Adventure, Drama, Hstory",90,"After a Jewsh prnce s betrayed and sent nto slavery by a Roman frend n 1st-century Jerusalem, he regans hs freedom and comes back for revenge.",Wllam Wyler,Charlton Heston,Jack Hawkns,Stephen Boyd,Haya Harareet,$74.70M
310,The Hdden Fortress,1958,38749,8.1,A,139 mn,"Acton, Adventure, Drama",89,"Lured by gold, two greedy peasants unknowngly escort a prncess and her general across enemy lnes.",Akra Kurosawa,Toshrô Mfune,Msa Uehara,Mnoru Chak,Kamatar Fujwara,
311,Wld Strawberres,1957,106127,8.1,A,91 mn,"Drama, Romance",88,"After lvng a lfe marked by coldness, an agng professor s forced to confront the emptness of hs exstence.",ngmar Bergman,Vctor Sjöström,Bb Andersson,ngrd Thuln,Gunnar Björnstrand,
312,The Seventh Seal,1957,182662,8.1,X,96 mn,"Drama, Fantasy",88,"A knght returnng to Sweden after the Crusades seeks answers about lfe, death, and the exstence of God as he plays chess aganst the Grm Reaper durng the Black Plague.",ngmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nls Poppe,
313,Nghts of Cabra,1957,48549,8.1,X,110 mn,Drama,,A wafsh prosttute wanders the streets of Rome lookng for true love but fnds only heartbreak.,Federco Felln,Guletta Masna,Franços Pérer,Franca Marz,Doran Gray,$0.75M
314,Throne of Blood,1957,51750,8.1,A,110 mn,"Drama, Hstory",,"A war-hardened general, egged on by hs ambtous wfe, works to fulfll a prophecy that he would become lord of Spder's Web Castle.",Akra Kurosawa,Toshrô Mfune,Mnoru Chak,suzu Yamada,Takash Shmura,
315,Rff,1955,34120,8.1,12,118 mn,"Crme, Drama, Thrller",97,"Four men plan a techncally perfect crme, but the human element ntervenes...",Jules Dassn,Jean Servas,Carl Möhner,Robert Manuel,Janne Darcey,$0.06M
316,On the Waterfront,1954,153402,8.1,A,108 mn,"Crme, Drama, Thrller",91,"An ex-prze fghter turned New Jersey longshoreman struggles to stand up to hs corrupt unon bosses, ncludng hs older brother, as he starts to connect wth the grevng sster of one of the syndcate's vctms.",Ela Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steger,$9.60M
317,Les Dabolques,1955,65491,8.1,X,117 mn,"Crme, Drama, Horror",,The wfe and mstress of a loathed school prncpal plan to murder hm wth what they beleve s the perfect alb.,Henr-Georges Clouzot,Smone Sgnoret,Véra Clouzot,Paul Meursse,Charles Vanel,$1.09M
318,Ace n the Hole,1951,35571,8.1,A,111 mn,"Drama, Flm-Nor",72,"A frustrated former bg-cty journalst now stuck workng for an Albuquerque newspaper explots a story about a man trapped n a cave to rekndle hs career, but the stuaton quckly escalates nto an out-of-control crcus.",Blly Wlder,Krk Douglas,Jan Sterlng,Robert Arthur,Porter Hall,$3.97M
319,Whte Heat,1949,32708,8.1,A,114 mn,"Acton, Crme, Drama",,A psychopathc crmnal wth a mother complex makes a darng break from prson and leads hs old gang n a chemcal plant payroll hest.,Raoul Walsh,James Cagney,Vrgna Mayo,Edmond O'Bren,Margaret Wycherly,
320,The Thrd Man,1949,170010,8.1,A,104 mn,"Flm-Nor, Mystery, Thrller",97,"Pulp novelst Holly Martns travels to shadowy, postwar Venna, only to fnd hmself nvestgatng the mysterous death of an old frend, Harry Lme.",Carol Reed,Orson Welles,Joseph Cotten,Alda Vall,Trevor Howard,$0.45M
321,The Red Shoes,1948,34698,8.1,U,135 mn,"Drama, Musc, Romance",,A young ballet dancer s torn between the man she loves and her pursut to become a prma ballerna.,Mchael Powell,Emerc Pressburger,Anton Walbrook,Marus Gorng,Mora Shearer,$10.90M
322,The Best Years of Our Lves,1946,63578,8.1,U,170 mn,"Drama, Romance, War",93,"Three World War veterans, two of them traumatzed or dsabled, return home to the Amercan mdwest to dscover that they and ther famles have been rreparably changed.",Wllam Wyler,Myrna Loy,Dana Andrews,Fredrc March,Teresa Wrght,$23.65M
323,The Shop Around the Corner,1940,32731,8.1,U,99 mn,"Comedy, Drama, Romance",96,"Two employees at a gft shop can barely stand each other, wthout realzng that they are fallng n love through the post as each other's anonymous pen pal.",Ernst Lubtsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schldkraut,$0.20M
324,Rebecca,1940,135688,8.1,A,130 mn,"Drama, Flm-Nor, Mystery",86,A self-conscous woman juggles adjustng to her new role as an arstocrat's wfe and avodng beng ntmdated by hs frst wfe's spectral presence.,Alfred Htchcock,Laurence Olver,Joan Fontane,George Sanders,Judth Anderson,$4.36M
325,The Grapes of Wrath,1940,92191,8.1,A,129 mn,Drama,96,"An Oklahoma famly, drven off ther farm by the poverty and hopelessness of the Dust Bowl, jons the westward mgraton to Calforna, sufferng the msfortunes of the homeless n the Great Depresson.",John Ford,Henry Fonda,Jane Darwell,John Carradne,Charley Grapewn,$0.06M
326,The Wzard of Oz,1939,392494,8.1,A,102 mn,"Adventure, Famly, Fantasy",92,"Young Dorothy Gale and her dog are swept away by a tornado from ther Kansas farm to the magcal Land of Oz, and embark on a quest wth three new frends to see the Wzard, who can return her to her home and fulfll the others' wshes.",Vctor Flemng,George Cukor,Mervyn LeRoy,Norman Taurog,Rchard Thorpe,$2.08M
327,Mr. Smth Goes to Washngton,1939,114695,8.1,U,129 mn,"Comedy, Drama",73,"A nave youth leader s apponted to fll a vacancy n the U.S. Senate. Hs dealstc plans promptly collde wth corrupton at home and subterfuge from hs hero n Washngton, but he tres to forge ahead despte attacks on hs character.",Frank Capra,James Stewart,Jean Arthur,Claude Rans,Edward Arnold,$9.60M
328,La Grande lluson,1937,36438,8.1,U,113 mn,"Drama, War",,"Durng WW, two French solders are captured and mprsoned n a German P.O.W. camp. Several escape attempts follow untl they are eventually sent to a seemngly nescapable fortress.",Jean Renor,Jean Gabn,Dta Parlo,Perre Fresnay,Erch von Strohem,$0.17M
329,t Happened One Nght,1934,102808,8.1,A,105 mn,"Comedy, Romance",87,"A renegade reporter tralng a young runaway heress for a bg story jons her on a bus headng from Florda to New York, and they end up stuck wth each other when the bus leaves them behnd at one of the stops.",Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,$4.36M
330,All Quet on the Western Front,1930,61054,8.1,PG,152 mn,"Drama, War",91,"A German youth eagerly enters World War , but hs enthusasm wanes as he gets a frsthand vew of the horror.",Lews Mlestone,Lew Ayres,Lous Wolhem,John Wray,Arnold Lucy,$3.27M
